message_type,timestamp,active_calories,active_time,activity_type,current_activity_type_intensity,cycles,cycles_to_calories,cycles_to_distance,data,data16,distance,duration_min,enabled,event,event_type,garmin_product,heart_rate,intensity,local_timestamp,manufacturer,number,resting_metabolic_rate,serial_number,software_version,steps,stress_level_time,stress_level_value,time_created,timestamp_16,type,unknown_0,unknown_1,unknown_14,unknown_15,unknown_16,unknown_2,unknown_253,unknown_3,unknown_35,unknown_36,unknown_37,unknown_38,unknown_4,unknown_6,unknown_7,unknown_8,version
stress_level,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-07 13:04:00,-1,,,,,,,,,101,,,,,,,126,,,,
unknown_297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,1144501440,,,,,,,,,,
unknown_279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2702,,,,,,1144501440,,,,,,,,,,
stress_level,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-07 13:05:00,-1,,,,,,,,,101,,,,,,,126,,,,
unknown_297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,1144501500,,,,,,,,,,
stress_level,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-07 13:06:00,-1,,,,,,,,,101,,,,,,,126,,,,
unknown_297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,1144501560,,,,,,,,,,
unknown_279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2702,,,,,,1144501560,,,,,,,,,,
stress_level,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-07 13:07:00,-1,,,,,,,,,101,,,,,,,126,,,,
unknown_297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,1144501620,,,,,,,,,,
stress_level,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-07 13:08:00,-1,,,,,,,,,101,,,,,,,126,,,,
unknown_297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,1144501680,,,,,,,,,,
unknown_279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2702,,,,,,1144501680,,,,,,,,,,
event,2026-04-07 13:08:22,,,,,,,,0,0,,,,62,start,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unknown_233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(24, 11, 0, 224)",,,,,,,,,,,
unknown_233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(128, 48, 19, 208)",,,,,,,,,,,
unknown_233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(146, 52, 15, 208)",,,,,,,,,,,
monitoring,2026-04-07 13:08:00,,,sedentary,"(8,)",,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stress_level,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-07 13:09:00,-1,,,,,,,,,101,,,,,,,126,,,,
unknown_297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,1144501740,,,,,,,,,,
monitoring,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,46572,,,,,,,,,,,,,,,,,,
unknown_233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(40, 0, 0, 248)",,,,,,,,,,,
monitoring,,,60.0,walking,"(38,)",4.5,,,,,,,,,,,,1,,,,,,,,,,,46572,,,,,,,,,,,,,,,,,,
stress_level,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-07 13:10:00,-2,,,,,,,,,102,,,,,,,126,,,,
unknown_297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-100,,,,,,1144501800,,,,,,,,,,
monitoring,,,,,,,,,,,,,,,,,89,,,,,,,,,,,,46632,,,,,,,,,,,,,,,,,,
unknown_279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2678,,,,,,1144501800,,,,,,,,,,
unknown_233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(106, 0, 64, 224)",,,,,,,,,,,
stress_level,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-07 13:11:00,-2,,,,,,,,,102,,86,,,,,125,,,,
unknown_297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-100,,,,,,1144501860,,,,,,,,,,
monitoring,,,,,,,,,,,,,,,,,95,,,,,,,,,,,,46692,,,,,,,,,,,,,,,,,,
unknown_233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(138, 255, 255, 255)",,,,,,,,,,,
stress_level,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-07 13:12:00,47,,,,,,,,,-29,,86,,,,,1,,,,
unknown_297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1391,,,,,,1144501920,,,,,,,,,,
monitoring,,,,,,,,,,,,,,,,,85,,,,,,,,,,,,46752,,,,,,,,,,,,,,,,,,
unknown_269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,2,,,,3,1144501920,,,,,,,,,,
