message_type,timestamp,active_calories,active_time,activity_type,ascent,current_activity_type_intensity,cycles,cycles_to_calories,cycles_to_distance,data,data16,descent,distance,duration_min,enabled,event,event_type,garmin_product,heart_rate,intensity,local_timestamp,manufacturer,moderate_activity_minutes,number,resting_metabolic_rate,serial_number,software_version,steps,stress_level_time,stress_level_value,time_created,timestamp_16,type,unknown_0,unknown_1,unknown_14,unknown_15,unknown_16,unknown_2,unknown_253,unknown_3,unknown_35,unknown_36,unknown_37,unknown_38,unknown_4,unknown_5,unknown_6,unknown_7,unknown_8,version
file_id,,,,,,,,,,,,,,,,,,4644,,,,garmin,,117,,3617778896,,,,,2026-04-08 09:19:00,,monitoring_b,,,,,,,,,,,,,,,,,,
device_info,2026-04-08 09:19:00,,,,,,,,,,,,,,,,,4644,,,,garmin,,,,3617778896,16.37,,,,,,,,,,,,,,,,,,,,,,,,
software,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
unknown_355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,200,,,,,,,,,,,,
unknown_484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,
monitoring_info,2026-04-08 09:19:00,,,"(6, 1, 13)",,,,"(0.0468, 0.1476, 0.0)","(1.6652, 2.4978, 2.0)",,,,,,,,,,,,2026-04-08 18:19:00,,,,2016,,,,,,,,,,,,,,,,,,,,,,,,"(7440, 7440, 2000, 2000)",,
unknown_24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(151, 209, 56, 68, 0, 2, 0, 16, 164, 0, 0, 32, 72, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,,,,
unknown_24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(151, 209, 56, 68, 0, 3, 0, 255, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,,,,
monitoring,2026-04-08 09:19:00,174,5762.0,generic,,,0.0,,,,,,0.0,1099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monitoring,2026-04-08 09:19:00,285,4882.0,walking,,,,,,,,,5182.15,1099,,,,,,,,,,,,,,6677,,,,,,,,,,,,,,,,,,,,,,,
monitoring,2026-04-08 09:19:00,3,60.0,running,,,,,,,,,92.0,1099,,,,,,,,,,,,,,104,,,,,,,,,,,,,,,,,,,,,,,
monitoring,2026-04-08 09:19:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31738,52090,,,,,,,,
monitoring,2026-04-08 09:19:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,0,,,,,,
unknown_211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,67,,,,,1144574340,,,,,,,,,,,
ohr_settings,,,,,,,,,,,,,,,on,,,,,,,,,,,,,,,,,,,,,,,,,1144574340,,,,,,,,,,,
event,2026-04-08 09:19:19,,,,,,,,,300,300,,,,,78,marker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unknown_24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(177, 209, 56, 68, 2, 4, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,,,,
monitoring,,,,,4.306,,,,,,,,,,,,,,,,,,,,,,,,,,,53646,,,,,,,,,,31738,,,,,,,,,
monitoring,,,,,,,,,,,,3.015,,,,,,,,,,,,,,,,,,,,53681,,,,,,,,,,,55106,,,,,,,,
stress_level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-08 09:20:00,-2,,,,,,,,,102,,24,,,,,1,,,,,
unknown_297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-100,,,,,,1144574400,,,,,,,,,,,
monitoring,,,,,,,,,,,,,,,,,,,122,,,,,,,,,,,,,53696,,,,,,,,,,,,,,,,,,,
unknown_279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2584,,,,,,1144574400,,,,,,,,,,,
unknown_233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(10, 0, 0, 24)",,,,,,,,,,,,
unknown_24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(212, 209, 56, 68, 2, 4, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,,,,
stress_level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-08 09:21:00,-2,,,,,,,,,102,,24,,,,,1,,,,,
unknown_297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-100,,,,,,1144574460,,,,,,,,,,,
monitoring,,,,,,,,,,,,,,,,,,,133,,,,,,,,,,,,,53756,,,,,,,,,,,,,,,,,,,
unknown_233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(10, 64, 12, 32)",,,,,,,,,,,,
unknown_24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(22, 210, 56, 68, 2, 4, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,,,,
unknown_24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(24, 210, 56, 68, 2, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,,,,
unknown_24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(24, 210, 56, 68, 2, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,,,,
