message_type,timestamp,active_calories,active_time,activity_type,ascent,current_activity_type_intensity,cycles,cycles_to_calories,cycles_to_distance,data,data16,descent,distance,duration_min,enabled,event,event_type,garmin_product,heart_rate,intensity,local_timestamp,manufacturer,moderate_activity_minutes,number,resting_metabolic_rate,serial_number,software_version,steps,stress_level_time,stress_level_value,time_created,timestamp_16,type,unknown_0,unknown_1,unknown_14,unknown_15,unknown_16,unknown_2,unknown_253,unknown_3,unknown_35,unknown_36,unknown_37,unknown_38,unknown_4,unknown_5,unknown_6,unknown_7,unknown_8,version
unknown_24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(12, 44, 56, 68, 3, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,,,,
unknown_24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(12, 44, 56, 68, 3, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,,,,
unknown_24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(12, 44, 56, 68, 3, 3, 71, 2, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,,,,
unknown_24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(12, 44, 56, 68, 3, 4, 37, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,,,,
unknown_24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(12, 44, 56, 68, 3, 5, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,,,,
unknown_24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(12, 44, 56, 68, 3, 6, 36, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,,,,
unknown_24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(12, 44, 56, 68, 3, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,,,,
unknown_24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(12, 44, 56, 68, 3, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,,,,
unknown_24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(12, 44, 56, 68, 3, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,,,,
unknown_24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(12, 44, 56, 68, 3, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,,,,
unknown_24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(12, 44, 56, 68, 3, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,,,,
unknown_24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(12, 44, 56, 68, 0, 3, 0, 255, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,,,,
unknown_408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,93,1144532030,,,,,,,,,,,
stress_level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-07 21:34:00,-1,,,,,,,,,101,,76,,,,,2,,,,,
unknown_297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,1144532040,,,,,,,,,,,
unknown_279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2448,,,,,,1144532040,,,,,,,,,,,
stress_level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-07 21:35:00,-1,,,,,,,,,101,,76,,,,,2,,,,,
unknown_297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,1144532100,,,,,,,,,,,
stress_level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-07 21:36:00,-1,,,,,,,,,101,,76,,,,,2,,,,,
unknown_297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,1144532160,,,,,,,,,,,
unknown_279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2448,,,,,,1144532160,,,,,,,,,,,
event,2026-04-07 21:37:00,,,,,,,,,1,1,,,,,54,marker,,,,,,,,,,,,,,,,,,,0,1144531260,,,,,,,,,,,,,,
stress_level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-07 21:37:00,-1,,,,,,,,,101,,76,,,,,2,,,,,
unknown_297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,1144532220,,,,,,,,,,,
event,2026-04-07 21:38:00,,,,,,,,,1,1,,,,,54,marker,,,,,,,,,,,,,,,,,,,8,1144531320,,,,,,,,,,,,,,
stress_level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-07 21:38:00,-1,,,,,,,,,101,,76,,,,,2,,,,,
unknown_297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,1144532280,,,,,,,,,,,
unknown_279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2448,,,,,,1144532280,,,,,,,,,,,
event,2026-04-07 21:39:00,,,,,,,,,1,1,,,,,54,marker,,,,,,,,,,,,,,,,,,,0,1144531380,,,,,,,,,,,,,,
stress_level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-07 21:39:00,-1,,,,,,,,,101,,76,,,,,2,,,,,
unknown_297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,1144532340,,,,,,,,,,,
stress_level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-07 21:40:00,-1,,,,,,,,,101,,76,,,,,2,,,,,
unknown_297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,1144532400,,,,,,,,,,,
monitoring,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,11696,,,,,,,,,,,,,,,,,,,
unknown_279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2448,,,,,,1144532400,,,,,,,,,,,
stress_level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-07 21:41:00,-1,,,,,,,,,101,,76,,,,,2,,,,,
unknown_297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,1144532460,,,,,,,,,,,
stress_level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-07 21:42:00,-1,,,,,,,,,101,,76,,,,,2,,,,,
unknown_297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,1144532520,,,,,,,,,,,
unknown_279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2448,,,,,,1144532520,,,,,,,,,,,
monitoring,2026-04-07 21:42:00,,,sedentary,,"(8,)",,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stress_level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-07 21:43:00,-1,,,,,,,,,101,,76,,,,,2,,,,,
unknown_297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,1144532580,,,,,,,,,,,
stress_level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-07 21:44:00,-1,,,,,,,,,101,,76,,,,,2,,,,,
unknown_297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,1144532640,,,,,,,,,,,
unknown_279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2448,,,,,,1144532640,,,,,,,,,,,
unknown_233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(88, 0, 64, 224)",,,,,,,,,,,,
unknown_233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(46, 73, 26, 208)",,,,,,,,,,,,
unknown_233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(232, 119, 65, 208)",,,,,,,,,,,,
stress_level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-07 21:45:00,-1,,,,,,,,,101,,75,,,,,2,,,,,
unknown_297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,1144532700,,,,,,,,,,,
unknown_233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(40, 0, 0, 248)",,,,,,,,,,,,
monitoring,2026-04-07 21:45:00,,,sedentary,,"(136,)",,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stress_level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-07 21:46:00,23,,,,,,,,,9,,75,,,,,1,,,,,
unknown_297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-100,,,,,,1144532760,,,,,,,,,,,
monitoring,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,12056,,,,,,,,,,,,,,,,,,,
unknown_279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2448,,,,,,1144532760,,,,,,,,,,,
unknown_233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(138, 255, 255, 255)",,,,,,,,,,,,
monitoring,,1,120.0,walking,,"(6,)",10.0,,,,,,,,,,,,,0,,,,,,,,,,,,12056,,,,,,,,,,,,,,,,,,,
stress_level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-07 21:47:00,42,,,,,,,,,-23,,75,,,,,1,,,,,
unknown_297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-100,,,,,,1144532820,,,,,,,,,,,
monitoring,,,,,,,,,,,,,,,,,,,95,,,,,,,,,,,,,12116,,,,,,,,,,,,,,,,,,,
unknown_233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(106, 0, 64, 224)",,,,,,,,,,,,
stress_level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-07 21:48:00,39,,,,,,,,,-19,,75,,,,,1,,,,,
unknown_297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1060,,,,,,1144532880,,,,,,,,,,,
monitoring,,,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,12176,,,,,,,,,,,,,,,,,,,
unknown_279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2448,,,,,,1144532880,,,,,,,,,,,
unknown_233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(44, 0, 0, 248)",,,,,,,,,,,,
stress_level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-07 21:49:00,34,,,,,,,,,-12,,75,,,,,1,,,,,
unknown_297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-100,,,,,,1144532940,,,,,,,,,,,
monitoring,,,,,,,,,,,,,,,,,,,82,,,,,,,,,,,,,12236,,,,,,,,,,,,,,,,,,,
unknown_233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(16, 0, 0, 248)",,,,,,,,,,,,
stress_level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-07 21:50:00,24,,,,,,,,,4,,75,,,,,1,,,,,
unknown_297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1790,,,,,,1144533000,,,,,,,,,,,
monitoring,,,,,,,,,,,,,,,,,,,81,,,,,,,,,,,,,12296,,,,,,,,,,,,,,,,,,,
unknown_279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2448,,,,,,1144533000,,,,,,,,,,,
unknown_233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(35, 2, 0, 0)",,,,,,,,,,,,
monitoring,2026-04-07 21:50:00,,,sedentary,,"(168,)",,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stress_level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-07 21:51:00,30,,,,,,,,,-6,,75,,,,,1,,,,,
unknown_297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-100,,,,,,1144533060,,,,,,,,,,,
monitoring,,,,,,,,,,,,,,,,,,,83,,,,,,,,,,,,,12356,,,,,,,,,,,,,,,,,,,
unknown_233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(34, 64, 63, 8)",,,,,,,,,,,,
monitoring,,2,180.0,walking,,"(38,)",13.5,,,,,,,,,,,,,1,,,,,,,,,,,,12356,,,,,,,,,,,,,,,,,,,
stress_level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-07 21:52:00,31,,,,,,,,,-8,,75,,,,,1,,,,,
unknown_297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1718,,,,,,1144533120,,,,,,,,,,,
monitoring,,,,,,,,,,,,,,,,,,,86,,,,,,,,,,,,,12416,,,,,,,,,,,,,,,,,,,
unknown_279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2448,,,,,,1144533120,,,,,,,,,,,
unknown_233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(24, 12, 12, 16)",,,,,,,,,,,,
stress_level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-07 21:53:00,36,,,,,,,,,-14,,75,,,,,1,,,,,
unknown_297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1481,,,,,,1144533180,,,,,,,,,,,
monitoring,,,,,,,,,,,,,,,,,,,87,,,,,,,,,,,,,12476,,,,,,,,,,,,,,,,,,,
unknown_233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(16, 116, 1, 192)",,,,,,,,,,,,
stress_level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-07 21:54:00,51,,,,,,,,,-34,,75,,,,,1,,,,,
unknown_297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1483,,,,,,1144533240,,,,,,,,,,,
monitoring,,,,,,,,,,,,,,,,,,,95,,,,,,,,,,,,,12536,,,,,,,,,,,,,,,,,,,
unknown_279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2448,,,,,,1144533240,,,,,,,,,,,
unknown_233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(8, 108, 1, 184)",,,,,,,,,,,,
stress_level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-07 21:55:00,81,,,,,,,,,-75,,75,,,,,1,,,,,
unknown_297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1666,,,,,,1144533300,,,,,,,,,,,
monitoring,,,,,,,,,,,,,,,,,,,96,,,,,,,,,,,,,12596,,,,,,,,,,,,,,,,,,,
unknown_233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(20, 42, 4, 176)",,,,,,,,,,,,
stress_level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-07 21:56:00,69,,,,,,,,,-58,,75,,,,,1,,,,,
unknown_297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1325,,,,,,1144533360,,,,,,,,,,,
monitoring,,,,,,,,,,,,,,,,,,,99,,,,,,,,,,,,,12656,,,,,,,,,,,,,,,,,,,
unknown_279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2448,,,,,,1144533360,,,,,,,,,,,
unknown_233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(0, 0, 224, 247)",,,,,,,,,,,,
monitoring,2026-04-07 21:56:00,,,sedentary,,"(104,)",,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stress_level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-07 21:57:00,66,,,,,,,,,-55,,74,,,,,1,,,,,
unknown_297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1408,,,,,,1144533420,,,,,,,,,,,
monitoring,,,,,,,,,,,,,,,,,,,96,,,,,,,,,,,,,12716,,,,,,,,,,,,,,,,,,,
unknown_233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(0, 0, 0, 24)",,,,,,,,,,,,
event,2026-04-07 21:58:00,,,,,,,,,19,19,,,,,54,marker,,,,,,,,,,,,,,,,,,,8,1144531440,,,,,,,,,,,,,,
stress_level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-07 21:58:00,42,,,,,,,,,-22,,74,,,,,1,,,,,
unknown_297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1133,,,,,,1144533480,,,,,,,,,,,
monitoring,,,,,,,,,,,,,,,,,,,87,,,,,,,,,,,,,12776,,,,,,,,,,,,,,,,,,,
unknown_279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2448,,,,,,1144533480,,,,,,,,,,,
unknown_233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(0, 0, 0, 32)",,,,,,,,,,,,
stress_level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-07 21:59:00,31,,,,,,,,,-8,,74,,,,,1,,,,,
unknown_297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1333,,,,,,1144533540,,,,,,,,,,,
monitoring,,,,,,,,,,,,,,,,,,,79,,,,,,,,,,,,,12836,,,,,,,,,,,,,,,,,,,
unknown_233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(6, 0, 0, 40)",,,,,,,,,,,,
stress_level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-07 22:00:00,29,,,,,,,,,-5,,74,,,,,1,,,,,
unknown_297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1858,,,,,,1144533600,,,,,,,,,,,
monitoring,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,12896,,,,,,,,,,,,,,,,,,,
unknown_279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2448,,,,,,1144533600,,,,,,,,,,,
unknown_233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(0, 0, 0, 48)",,,,,,,,,,,,
stress_level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-07 22:01:00,28,,,,,,,,,-4,,74,,,,,1,,,,,
unknown_297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1966,,,,,,1144533660,,,,,,,,,,,
monitoring,,,,,,,,,,,,,,,,,,,78,,,,,,,,,,,,,12956,,,,,,,,,,,,,,,,,,,
unknown_233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(0, 0, 0, 56)",,,,,,,,,,,,
stress_level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-07 22:02:00,29,,,,,,,,,-5,,74,,,,,1,,,,,
unknown_297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1825,,,,,,1144533720,,,,,,,,,,,
monitoring,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,13016,,,,,,,,,,,,,,,,,,,
event,2026-04-07 22:02:00,,,,,,,,,1,1,,,,,41,marker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unknown_279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2448,,,,,,1144533720,,,,,,,,,,,
unknown_24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(216, 50, 56, 68, 9, 2, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,,,,
unknown_233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(10, 80, 1, 192)",,,,,,,,,,,,
monitoring,2026-04-07 22:02:00,,,sedentary,,"(8,)",,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stress_level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-07 22:03:00,35,,,,,,,,,-13,,74,,,,,1,,,,,
unknown_297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1866,,,,,,1144533780,,,,,,,,,,,
monitoring,,,,,,,,,,,,,,,,,,,81,,,,,,,,,,,,,13076,,,,,,,,,,,,,,,,,,,
unknown_233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(6, 80, 1, 184)",,,,,,,,,,,,
monitoring,2026-04-07 22:03:00,,,sedentary,,"(104,)",,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stress_level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-07 22:04:00,43,,,,,,,,,-24,,74,,,,,1,,,,,
unknown_297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1866,,,,,,1144533840,,,,,,,,,,,
unknown_279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2448,,,,,,1144533840,,,,,,,,,,,
unknown_233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(76, 104, 0, 176)",,,,,,,,,,,,
stress_level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-07 22:05:00,30,,,,,,,,,-6,,74,,,,,1,,,,,
unknown_297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1541,,,,,,1144533900,,,,,,,,,,,
monitoring,,,,,,,,,,,,,,,,,,,78,,,,,,,,,,,,,13196,,,,,,,,,,,,,,,,,,,
unknown_233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(0, 0, 224, 247)",,,,,,,,,,,,
unknown_24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(140, 51, 56, 68, 2, 2, 64, 20, 20, 49, 36, 0, 0, 0, 0, 0, 0, 35, 35, 35, 36, 36, 1, 0, 1, 0, 0)",,,,,,,,,,,,
event,2026-04-07 22:06:00,,,,,,,,,8,8,,,,,54,marker,,,,,,,,,,,,,,,,,,,0,1144532580,,,,,,,,,,,,,,
stress_level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-07 22:06:00,30,,,,,,,,,-6,,74,,,,,1,,,,,
unknown_297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1758,,,,,,1144533960,,,,,,,,,,,
monitoring,,,,,,,,,,,,,,,,,,,83,,,,,,,,,,,,,13256,,,,,,,,,,,,,,,,,,,
unknown_279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2444,,,,,,1144533960,,,,,,,,,,,
unknown_233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(0, 0, 0, 64)",,,,,,,,,,,,
stress_level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-07 22:07:00,30,,,,,,,,,-6,,74,,,,,1,,,,,
unknown_297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,,,,,,1144534020,,,,,,,,,,,
monitoring,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,13316,,,,,,,,,,,,,,,,,,,
unknown_233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(0, 0, 0, 72)",,,,,,,,,,,,
