message_type,timestamp,garmin_product,manufacturer,number,product,serial_number,software_version,time_created,type,unknown_0,unknown_1,unknown_2,unknown_253,unknown_3,unknown_4,unknown_5,unknown_6,unknown_9
file_id,,4644,garmin,658,,3617778896,,2026-04-08 06:01:27,44,,,,,,,,,
file_creator,,,,,,,1637,,,,,,,1,1,,,
device_info,2026-04-08 06:01:27,,,,4644,3617778896,16.37,,,,,,,,,,,
unknown_241,,,,,,,,,,1144594887,0,,1144562487,,,,,
unknown_284,,,,,,,,,,739,1144562487,0,,0,0,2,,
unknown_410,,,,,,,,,,420,420,3,1144562488,0,3,3,0,1
unknown_284,,,,,,,,,,558,1144573358,0,,0,0,2,,
unknown_410,,,,,,,,,,420,420,3,1144573361,0,3,3,0,1
