message_type,timestamp,active_calories,active_time,activity_type,current_activity_type_intensity,cycles,cycles_to_calories,cycles_to_distance,data,data16,distance,duration_min,enabled,event,event_type,garmin_product,heart_rate,intensity,local_timestamp,manufacturer,number,resting_metabolic_rate,serial_number,software_version,steps,stress_level_time,stress_level_value,time_created,timestamp_16,type,unknown_0,unknown_1,unknown_2,unknown_253,unknown_3,unknown_35,unknown_36,unknown_37,unknown_38,unknown_4,unknown_6,unknown_7,unknown_8,version
stress_level,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-07 21:32:00,-1,,,,,,101,,76,,,,,2,,,,
unknown_297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,1144531920,,,,,,,,,,
unknown_279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2448,,,1144531920,,,,,,,,,,
monitoring,2026-04-07 21:32:00,,,sedentary,"(8,)",,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
ohr_settings,,,,,,,,,,,,,off,,,,,,,,,,,,,,,,,,,,,1144531920,,,,,,,,,,
monitoring,2026-04-07 21:32:00,1,60.0,generic,,0.0,,,,,0.0,392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monitoring,2026-04-07 21:32:00,0,60.0,walking,,,,,,,5.83,392,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,
monitoring,2026-04-07 21:32:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,
monitoring,2026-04-07 21:32:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,
unknown_211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,67,,1144531920,,,,,,,,,,
unknown_24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(208, 43, 56, 68, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,,,
unknown_24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(208, 43, 56, 68, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,,,
