message_type,timestamp,garmin_product,manufacturer,number,product,serial_number,software_version,time_created,type,unknown_0,unknown_1,unknown_10,unknown_11,unknown_12,unknown_13,unknown_14,unknown_15,unknown_16,unknown_17,unknown_18,unknown_19,unknown_2,unknown_20,unknown_21,unknown_22,unknown_25,unknown_253,unknown_26,unknown_27,unknown_28,unknown_29,unknown_3,unknown_30,unknown_4,unknown_5,unknown_6,unknown_7,unknown_8,unknown_9
file_id,,4644,garmin,651,,3617778896,,2026-04-05 20:03:21,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
file_creator,,,,,,,1637,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,
device_info,2026-04-05 20:03:21,,,,4644,3617778896,16.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unknown_241,,,,,,,,,,1144386201,0,,,,,,,,,,,,,,,,1144353801,,,,,,,,,,,,
unknown_294,,,,,,,,,,21870320,6368578,,,,,,,,,,,0,,,,,1144353801,,,,,70,,190,150,270,0,120,3
unknown_232,,,,,,,,,,,,,39,,,,,,,,,8,,,,,1144353801,,,,,0,,,,,,,2
unknown_378,,,,,,,,,,73,3,,,,,,,,,,,4,,,,,1144353801,,,,,179,,107,16,,,,
unknown_494,,,,,,,,,,3,3,,,,,,,,,,,4,,,,,1144353801,,,,,0,,0,16,14,9,,
unknown_369,,,,,,,,,,1,1,59,3,35,2,10,1,34,2,0,1,1,1144386202,3584,179,1,1144353802,3,5,4,5,1,5,,0,0,2027,45,3
unknown_339,,,,,,,,,,1144386201,2187,,,,,,,,,,,4948,,,,,1144353801,,,,,12370,,28388,,,,,
unknown_356,,,,,,,,,,,,,0,0,,,,,,,,1128400,,,,,1144353802,,,,,4752800,,,100,100,,,
unknown_506,,,,,,,,,,420,1360,,,,,,,,,,,340,,,,,1144353802,,,,,8,,130,,,,,
unknown_410,,,,,,,,,,420,440,,,,,,,,,,,2,,,,,1144353802,,,,,8,,3,3,0,,,1
