message_type,timestamp,ant_device_number,ant_network,ant_transmission_type,battery_status,battery_voltage,cum_operating_time,device_index,device_type,garmin_product,hardware_version,local_timestamp,manufacturer,number,sensor_position,serial_number,software_version,source_type,system_timestamp,time_created,type,unknown_0,unknown_1,unknown_13,unknown_15,unknown_16,unknown_17,unknown_2,unknown_23,unknown_24,unknown_253,unknown_29,unknown_3,unknown_30,unknown_31,unknown_32,unknown_4,unknown_7,unknown_8,unknown_9
file_id,,,,,,,,,,4644,,,garmin,,,3617778896,,,,2026-04-07 21:11:01,73,,,,,,,,,,,,,,,,,,,
file_creator,,,,,,,,,,,,,,,,,1637,,,,,,,,,,,,,,,,,,,,,,,
device_info,2026-04-07 21:11:01,,,,,,,,,4644,,,garmin,,,3617778896,16.37,,,,,,,,,,,,,,,"(None, None, None, None, None, None)",,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-0.5447502136230469,,,,,,,,1144508701,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-0.5271759033203125,,,,,,,,1144508881,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-0.5849151611328125,,,,,,,,1144509061,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-0.5849151611328125,,,,,,,,1144509241,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-0.5203781127929688,,,,,,,,1144509421,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-0.6044120788574219,,,,,,,,1144509601,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-0.6169853210449219,,,,,,,,1144509781,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-0.5556564331054688,,,,,,,,1144509961,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-0.5242233276367188,,,,,,,,1144510141,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-0.5299911499023438,,,,,,,,1144510321,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-0.4412078857421875,,,,,,,,1144510501,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-0.3828239440917969,,,,,,,,1144510681,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-0.2985343933105469,,,,,,,,1144510861,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-0.3834724426269531,,,,,,,,1144511041,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-0.5171661376953125,,,,,,,,1144511221,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-0.5710563659667969,,,,,,,,1144511401,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-0.6871681213378906,,,,,,,,1144511581,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-0.6598434448242188,,,,,,,,1144511761,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-0.7125663757324219,,,,,,,,1144511941,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-0.58233642578125,,,,,,,,1144512121,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-0.37346649169921875,,,,,,,,1144512301,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-0.41747283935546875,,,,,,,,1144512481,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-0.53192138671875,,,,,,,,1144512661,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-0.533843994140625,,,,,,,,1144512841,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-0.6076240539550781,,,,,,,,1144513021,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-0.7211685180664062,,,,,,,,1144513201,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-0.6935844421386719,,,,,,,,1144513381,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-0.7087249755859375,,,,,,,,1144513561,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-0.8218917846679688,,,,,,,,1144513741,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-1.0541152954101562,,,,,,,,1144513921,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-0.8311309814453125,,,,,,,,1144514101,,,,,,,,,
